[detection] Polyps.
142.png@#@<p>Polyps</p> {<54><52><93><90>}<delim>{<68><11><94><37>}
143.png@#@<p>Polyps</p> {<45><52><58><70>}<delim>{<79><68><93><93>}<delim>{<1><56><23><83>}<delim>{<24><43><41><56>}
144.png@#@<p>Polyps</p> {<53><57><93><97>}<delim>{<46><26><77><41>}
145.png@#@<p>Polyps</p> {<0><5><95><96>}
146.png@#@<p>Polyps</p> {<42><50><63><71>}<delim>{<78><61><95><91>}
147.png@#@<p>Polyps</p> {<63><69><82><89>}<delim>{<45><61><64><74>}<delim>{<22><25><44><59>}
148.png@#@<p>Polyps</p> {<3><27><43><61>}<delim>{<65><72><86><96>}<delim>{<34><46><62><91>}
149.png@#@<p>Polyps</p> {<34><14><65><52>}<delim>{<80><13><94><25>}
15.png@#@<p>Polyps</p> {<1><40><84><78>}<delim>{<52><60><83><93>}
150.png@#@<p>Polyps</p> {<38><26><65><61>}<delim>{<18><19><34><30>}<delim>{<57><26><85><61>}<delim>{<23><6><52><40>}
151.png@#@<p>Polyps</p> {<36><70><47><89>}<delim>{<15><28><54><67>}
152.png@#@<p>Polyps</p> {<46><42><75><63>}<delim>{<26><6><50><43>}
153.png@#@<p>Polyps</p> {<21><4><63><47>}<delim>{<45><82><91><95>}<delim>{<63><0><95><44>}
154.png@#@<p>Polyps</p> {<10><4><62><57>}<delim>{<23><2><68><29>}
155.png@#@<p>Polyps</p> {<1><2><96><97>}
156.png@#@<p>Polyps</p> {<1><2><96><97>}
157.png@#@<p>Polyps</p> {<23><67><55><94>}<delim>{<55><10><76><27>}
158.png@#@<p>Polyps</p> {<61><8><80><39>}<delim>{<57><8><68><29>}<delim>{<39><75><47><86>}<delim>{<19><8><31><28>}
159.png@#@<p>Polyps</p> {<63><76><80><89>}<delim>{<28><47><50><68>}<delim>{<76><28><84><36>}
16.png@#@<p>Polyps</p> {<23><4><98><96>}
160.png@#@<p>Polyps</p> {<1><2><97><97>}
161.png@#@<p>Polyps</p> {<32><32><50><46>}<delim>{<67><14><82><24>}
162.png@#@<p>Polyps</p> {<59><57><69><63>}<delim>{<20><30><37><40>}<delim>{<18><30><34><39>}
163.png@#@<p>Polyps</p> {<0><2><97><97>}
164.png@#@<p>Polyps</p> {<2><2><96><97>}
165.png@#@<p>Polyps</p> {<61><81><73><95>}<delim>{<42><27><64><40>}
166.png@#@<p>Polyps</p> {<1><2><97><96>}
167.png@#@<p>Polyps</p> {<1><2><96><97>}
168.png@#@<p>Polyps</p> {<3><2><95><97>}
169.png@#@<p>Polyps</p> {<1><1><97><98>}
17.png@#@<p>Polyps</p> {<47><33><81><70>}<delim>{<54><29><76><69>}<delim>{<13><13><30><30>}<delim>{<2><13><30><30>}<delim>{<13><13><30><30>}
170.png@#@<p>Polyps</p> {<1><2><95><97>}
171.png@#@<p>Polyps</p> {<19><52><73><96>}<delim>{<46><83><69><92>}
172.png@#@<p>Polyps</p> {<42><2><69><35>}<delim>{<1><8><10><61>}<delim>{<77><76><90><92>}
173.png@#@<p>Polyps</p> {<24><18><52><37>}<delim>{<5><89><16><98>}
174.png@#@<p>Polyps</p> {<26><26><49><47>}<delim>{<45><86><76><93>}<delim>{<14><25><37><36>}
175.png@#@<p>Polyps</p> {<2><2><97><96>}
176.png@#@<p>Polyps</p> {<1><0><97><96>}
177.png@#@<p>Polyps</p> {<37><39><58><56>}<delim>{<40><32><55><57>}
178.png@#@<p>Polyps</p> {<1><3><96><97>}
179.png@#@<p>Polyps</p> {<1><1><98><97>}
18.png@#@<p>Polyps</p> {<5><16><89><97>}
180.png@#@<p>Polyps</p> {<30><41><59><71>}<delim>{<28><38><60><68>}
181.png@#@<p>Polyps</p> {<8><46><30><72>}<delim>{<11><55><30><73>}<delim>{<36><9><52><34>}
182.png@#@<p>Polyps</p> {<64><83><79><94>}<delim>{<11><48><25><72>}<delim>{<35><7><52><30>}
183.png@#@<p>Polyps</p> {<0><0><97><98>}
184.png@#@<p>Polyps</p> {<0><0><95><98>}
185.png@#@<p>Polyps</p> {<60><11><72><24>}<delim>{<59><11><71><25>}<delim>{<18><13><34><35>}
186.png@#@<p>Polyps</p> {<61><8><73><25>}<delim>{<14><4><59><34>}
187.png@#@<p>Polyps</p> {<1><1><96><97>}
188.png@#@<p>Polyps</p> {<25><48><50><68>}
189.png@#@<p>Polyps</p> {<52><68><64><79>}<delim>{<68><14><82><38>}
19.png@#@<p>Polyps</p> {<1><28><15><46>}<delim>{<32><47><68><82>}
190.png@#@<p>Polyps</p> {<56><42><77><65>}<delim>{<61><39><77><64>}
191.png@#@<p>Polyps</p> {<14><18><43><45>}<delim>{<14><18><64><44>}
192.png@#@<p>Polyps</p> {<1><2><97><98>}
193.png@#@<p>Polyps</p> {<39><60><61><89>}<delim>{<52><8><78><36>}
194.png@#@<p>Polyps</p> {<1><1><97><98>}
195.png@#@<p>Polyps</p> {<1><2><97><98>}
196.png@#@<p>Polyps</p> {<1><20><36><48>}
197.png@#@<p>Polyps</p> {<29><41><57><69>}<delim>{<30><43><57><69>}
198.png@#@<p>Polyps</p> {<1><2><97><98>}
199.png@#@<p>Polyps</p> {<0><1><97><98>}
2.png@#@<p>Polyps</p> {<1><2><95><96>}
20.png@#@<p>Polyps</p> {<19><28><52><71>}<delim>{<40><28><63><51>}
200.png@#@<p>Polyps</p> {<2><0><98><98>}
201.png@#@<p>Polyps</p> {<22><3><61><37>}
202.png@#@<p>Polyps</p> {<39><56><56><62>}
203.png@#@<p>Polyps</p> {<1><4><97><98>}
204.png@#@<p>Polyps</p> {<15><48><96><97>}<delim>{<23><80><60><96>}<delim>{<11><10><52><30>}
205.png@#@<p>Polyps</p> {<15><14><94><79>}<delim>{<16><13><60><37>}
206.png@#@<p>Polyps</p> {<15><43><94><81>}
207.png@#@<p>Polyps</p> {<15><18><96><80>}<delim>{<27><13><45><23>}<delim>{<47><62><68><79>}<delim>{<42><9><53><23>}
208.png@#@<p>Polyps</p> {<14><39><81><79>}<delim>{<15><27><70><49>}
209.png@#@<p>Polyps</p> {<15><27><49><43>}<delim>{<30><26><80><41>}
21.png@#@<p>Polyps</p> {<2><7><89><96>}
210.png@#@<p>Polyps</p> {<14><12><67><53>}<delim>{<14><12><67><53>}
211.png@#@<p>Polyps</p> {<14><23><95><97>}<delim>{<13><24><68><62>}
212.png@#@<p>Polyps</p> {<50><52><71><88>}<delim>{<49><72><69><92>}<delim>{<61><51><71><65>}
213.png@#@<p>Polyps</p> {<47><50><72><92>}<delim>{<17><36><32><53>}
214.png@#@<p>Polyps</p> {<43><49><67><81>}<delim>{<52><61><65><79>}<delim>{<55><27><61><38>}<delim>{<28><31><35><41>}
215.png@#@<p>Polyps</p> {<41><25><60><58>}<delim>{<39><54><65><79>}
216.png@#@<p>Polyps</p> {<41><52><67><81>}<delim>{<40><27><63><41>}<delim>{<24><45><39><54>}<delim>{<54><23><64><28>}
217.png@#@<p>Polyps</p> {<14><17><95><96>}<delim>{<30><22><46><36>}<delim>{<51><21><64><36>}
218.png@#@<p>Polyps</p> {<64><39><94><82>}<delim>{<15><31><63><78>}<delim>{<64><64><94><84>}
219.png@#@<p>Polyps</p> {<51><52><78><83>}<delim>{<51><50><83><92>}
22.png@#@<p>Polyps</p> {<12><65><40><97>}<delim>{<48><12><56><37>}<delim>{<28><11><45><36>}
220.png@#@<p>Polyps</p> {<15><42><80><79>}
221.png@#@<p>Polyps</p> {<16><2><95><97>}
222.png@#@<p>Polyps</p> {<14><5><96><47>} <p>stomach polyps</p> {<14><5><96><47>}
223.png@#@<p>Polyps</p> {<35><55><72><96>}<delim>{<14><4><42><38>}
224.png@#@<p>Polyps</p> {<16><4><95><97>}
225.png@#@<p>Polyps</p> {<16><5><94><95>}
226.png@#@<p>Polyps</p> {<14><2><93><97>}
227.png@#@<p>Polyps</p> {<12><26><63><96>}<delim>{<54><55><67><80>}
228.png@#@<p>Polyps</p> {<14><59><37><96>}<delim>{<28><54><40><76>}<delim>{<62><17><77><38>}
229.png@#@<p>Polyps</p> {<12><10><96><97>}
23.png@#@<p>Polyps</p> {<1><43><96><95>}
230.png@#@<p>Polyps</p> {<13><4><97><97>}
231.png@#@<p>Polyps</p> {<14><51><89><96>}
232.png@#@<p>Polyps</p> {<19><57><42><90>}<delim>{<83><15><96><24>}<delim>{<51><17><63><30>}
233.png@#@<p>Polyps</p> {<14><43><50><97>}<delim>{<30><69><48><92>}
234.png@#@<p>Polyps</p> {<41><42><64><70>}<delim>{<12><3><93><94>}
235.png@#@<p>Polyps</p> {<41><19><80><47>}
236.png@#@<p>Polyps</p> {<14><57><43><96>}<delim>{<15><58><42><96>}
237.png@#@<p>Polyps</p> {<31><59><60><87>}<delim>{<48><60><60><73>}<delim>{<31><41><62><71>}<delim>{<21><20><40><45>}
238.png@#@<p>Polyps</p> {<40><28><73><74>}<delim>{<37><54><70><96>}
239.png@#@<p>Polyps</p> {<31><24><60><65>}<delim>{<12><2><97><98>}
24.png@#@<p>Polyps</p> {<63><29><79><54>}<delim>{<14><21><32><45>}
240.png@#@<p>Polyps</p> {<13><18><45><57>}
241.png@#@<p>Polyps</p> {<40><42><51><54>}<delim>{<61><74><69><84>}
242.png@#@<p>Polyps</p> {<36><69><47><80>}<delim>{<37><51><57><79>}<delim>{<12><46><32><67>}
243.png@#@<p>Polyps</p> {<45><43><62><68>}<delim>{<13><2><94><97>}
244.png@#@<p>Polyps</p> {<15><2><94><97>}
245.png@#@<p>Polyps</p> {<34><62><54><81>}<delim>{<39><49><57><84>}
246.png@#@<p>Polyps</p> {<15><38><74><69>}<delim>{<72><82><87><92>}<delim>{<60><40><74><59>}<delim>{<49><40><64><62>}
247.png@#@<p>Polyps</p> {<16><30><47><42>}<delim>{<64><51><98><92>}<delim>{<34><28><48><42>}
248.png@#@<p>Polyps</p> {<35><48><59><81>}<delim>{<12><3><96><97>}
249.png@#@<p>Polyps</p> {<12><2><98><98>}
25.png@#@<p>Polyps</p> {<13><59><28><78>}<delim>{<48><20><64><46>}<delim>{<26><16><48><43>}
250.png@#@<p>Polyps</p> {<16><29><67><44>}
251.png@#@<p>Polyps</p> {<38><67><50><81>}<delim>{<34><53><58><82>}
252.png@#@<p>Polyps</p> {<46><43><64><69>}<delim>{<48><54><57><66>}
253.png@#@<p>Polyps</p> {<58><73><80><92>}<delim>{<48><64><68><81>}<delim>{<20><17><35><34>}
254.png@#@<p>Polyps</p> {<37><69><48><78>}<delim>{<33><85><53><94>}<delim>{<20><72><28><79>}
255.png@#@<p>Polyps</p> {<45><43><62><68>}<delim>{<13><3><94><97>}
256.png@#@<p>Polyps</p> {<14><26><37><55>}<delim>{<85><37><97><65>}<delim>{<30><26><48><44>}
257.png@#@<p>Polyps</p> {<36><68><49><80>}<delim>{<57><12><75><23>}
258.png@#@<p>Polyps</p> {<47><53><61><66>}<delim>{<50><48><63><71>}
259.png@#@<p>Polyps</p> {<16><72><29><86>}<delim>{<66><53><75><64>}<delim>{<24><30><35><45>}
26.png@#@<p>Polyps</p> {<1><1><96><98>}
260.png@#@<p>Polyps</p> {<13><2><94><97>}
261.png@#@<p>Polyps</p> {<46><43><63><67>}<delim>{<50><44><64><71>}
262.png@#@<p>Polyps</p> {<15><30><65><47>}<delim>{<32><34><49><44>}
263.png@#@<p>Polyps</p> {<37><69><51><80>}<delim>{<44><73><52><82>}<delim>{<37><39><59><54>}
264.png@#@<p>Polyps</p> {<1><1><97><98>}
265.png@#@<p>Polyps</p> {<1><4><96><97>}
266.png@#@<p>Polyps</p> {<0><0><98><100>}
267.png@#@<p>Polyps</p> {<56><35><70><46>}<delim>{<58><35><68><42>}<delim>{<56><34><71><42>}<delim>{<55><34><69><41>}<delim>{<55><36><69><44>}
268.png@#@<p>Polyps</p> {<1><42><27><97>}<delim>{<51><36><88><70>}
269.png@#@<p>Polyps</p> {<2><4><36><72>}<delim>{<15><6><39><38>}<delim>{<33><19><57><38>}
27.png@#@<p>Polyps</p> {<1><3><96><95>}
270.png@#@<p>Polyps</p> {<1><5><97><96>}
271.png@#@<p>Polyps</p> {<1><2><97><98>}
272.png@#@<p>Polyps</p> {<1><6><97><98>}
273.png@#@<p>Polyps</p> {<1><36><28><96>}<delim>{<71><9><94><35>}<delim>{<90><14><99><35>}<delim>{<80><6><95><24>}
274.png@#@<p>Polyps</p> {<12><25><96><95>}
275.png@#@<p>Polyps</p> {<38><33><95><72>}
276.png@#@<p>Polyps</p> {<40><35><71><77>}<delim>{<82><52><96><66>}
277.png@#@<p>Polyps</p> {<16><29><98><97>}
278.png@#@<p>Polyps</p> {<14><23><96><95>}
279.png@#@<p>Polyps</p> {<14><37><96><97>}
28.png@#@<p>Polyps</p> {<15><34><92><98>}
280.png@#@<p>Polyps</p> {<59><44><92><74>}<delim>{<16><89><33><99>}<delim>{<60><45><72><67>}<delim>{<30><11><39><18>}
281.png@#@<p>Polyps</p> {<12><3><97><96>}
282.png@#@<p>Polyps</p> {<70><65><92><94>}<delim>{<18><18><50><38>}<delim>{<70><67><91><90>}
283.png@#@<p>Polyps</p> {<67><74><81><95>}<delim>{<39><26><50><38>}<delim>{<67><74><76><85>}<delim>{<51><27><64><37>}<delim>{<24><25><36><34>}<delim>{<40><28><49><36>}
284.png@#@<p>Polyps</p> {<12><1><95><98>}
285.png@#@<p>Polyps</p> {<75><56><95><72>}<delim>{<14><30><30><45>}
286.png@#@<p>Polyps</p> {<14><26><53><51>}<delim>{<50><76><94><95>}<delim>{<45><76><69><94>}
287.png@#@<p>Polyps</p> {<37><31><95><70>}
288.png@#@<p>Polyps</p> {<37><34><95><71>}<delim>{<12><3><97><98>}
289.png@#@<p>Polyps</p> {<40><33><96><77>}<delim>{<15><49><94><80>}
29.png@#@<p>Polyps</p> {<2><24><95><96>}
290.png@#@<p>Polyps</p> {<42><39><96><71>}<delim>{<13><3><95><96>}
291.png@#@<p>Polyps</p> {<37><41><95><70>}<delim>{<80><27><99><64>}<delim>{<55><17><65><33>}<delim>{<15><60><48><87>}
292.png@#@<p>Polyps</p> {<12><4><98><98>}
293.png@#@<p>Polyps</p> {<15><34><96><97>}
294.png@#@<p>Polyps</p> {<42><30><96><89>}<delim>{<12><3><95><97>}
295.png@#@<p>Polyps</p> {<13><2><97><98>}
296.png@#@<p>Polyps</p> {<38><34><95><77>}<delim>{<14><42><95><96>}
297.png@#@<p>Polyps</p> {<14><2><97><98>}
298.png@#@<p>Polyps</p> {<12><4><97><96>}
299.png@#@<p>Polyps</p> {<58><43><96><70>}
3.png@#@<p>Polyps</p> {<1><4><96><97>}
30.png@#@<p>Polyps</p> {<2><8><54><97>}<delim>{<51><0><93><23>}
300.png@#@<p>Polyps</p> {<14><3><95><97>}
301.png@#@<p>Polyps</p> {<18><51><63><97>}<delim>{<24><50><68><99>}
302.png@#@<p>Polyps</p> {<49><35><78><81>}<delim>{<21><26><38><59>}
303.png@#@<p>Polyps</p> {<0><13><89><72>}<delim>{<52><64><81><76>}<delim>{<11><74><28><90>}
304.png@#@<p>Polyps</p> {<1><7><92><96>}
305.png@#@<p>Polyps</p> {<15><86><29><94>}<delim>{<7><28><32><60>}
306.png@#@<p>Polyps</p> {<0><12><92><97>}
307.png@#@<p>Polyps</p> {<1><24><85><97>}
308.png@#@<p>Polyps</p> {<3><4><97><98>}
309.png@#@<p>Polyps</p> {<30><39><59><63>}<delim>{<64><12><78><21>}
31.png@#@<p>Polyps</p> {<1><15><84><97>}<delim>{<0><11><82><76>}
310.png@#@<p>Polyps</p> {<1><40><37><96>}<delim>{<15><48><29><76>}<delim>{<28><23><44><38>}
311.png@#@<p>Polyps</p> {<33><41><50><78>}<delim>{<52><50><63><81>}
312.png@#@<p>Polyps</p> {<0><13><94><97>}
313.png@#@<p>Polyps</p> {<4><10><93><95>}
314.png@#@<p>Polyps</p> {<46><41><59><58>}<delim>{<50><39><63><55>}
315.png@#@<p>Polyps</p> {<55><61><70><76>}<delim>{<39><42><53><53>}
316.png@#@<p>Polyps</p> {<14><59><38><87>}<delim>{<8><35><22><50>}<delim>{<21><70><38><90>}
317.png@#@<p>Polyps</p> {<1><0><97><98>}
318.png@#@<p>Polyps</p> {<2><2><97><97>}
319.png@#@<p>Polyps</p> {<49><37><55><48>}<delim>{<62><40><68><49>}<delim>{<49><25><55><35>}
32.png@#@<p>Polyps</p> {<19><45><71><96>}<delim>{<18><27><67><70>}<delim>{<63><16><69><29>}
320.png@#@<p>Polyps</p> {<45><46><53><57>}<delim>{<82><16><88><30>}
321.png@#@<p>Polyps</p> {<0><42><68><98>}
322.png@#@<p>Polyps</p> {<1><2><63><97>}
323.png@#@<p>Polyps</p> {<20><1><94><97>}
324.png@#@<p>Polyps</p> {<1><1><97><98>}
325.png@#@<p>Polyps</p> {<0><1><98><98>}
326.png@#@<p>Polyps</p> {<18><29><53><44>}<delim>{<7><84><28><96>}<delim>{<54><43><66><52>}
327.png@#@<p>Polyps</p> {<1><1><98><98>}
328.png@#@<p>Polyps</p> {<21><16><80><48>}
329.png@#@<p>Polyps</p> {<51><8><64><23>}<delim>{<33><78><57><96>}
33.png@#@<p>Polyps</p> {<1><14><92><87>}
330.png@#@<p>Polyps</p> {<40><11><62><31>}<delim>{<67><45><81><73>}<delim>{<39><9><54><27>}
331.png@#@<p>Polyps</p> {<69><23><85><70>}<delim>{<14><41><54><77>}
332.png@#@<p>Polyps</p> {<2><21><67><97>}
333.png@#@<p>Polyps</p> {<1><26><40><95>}
334.png@#@<p>Polyps</p> {<0><18><45><96>}<delim>{<1><20><47><97>}
335.png@#@<p>Polyps</p> {<1><9><64><87>}
336.png@#@<p>Polyps</p> {<1><5><67><80>}
337.png@#@<p>Polyps</p> {<1><2><67><80>}
338.png@#@<p>Polyps</p> {<13><6><79><84>}
339.png@#@<p>Polyps</p> {<52><56><74><91>}<delim>{<16><3><73><71>}<delim>{<15><5><71><72>}
34.png@#@<p>Polyps</p> {<16><52><32><80>}<delim>{<47><47><71><93>}
340.png@#@<p>Polyps</p> {<46><37><95><98>}<delim>{<1><47><70><98>}
341.png@#@<p>Polyps</p> {<12><57><30><68>}<delim>{<24><6><44><19>}
342.png@#@<p>Polyps</p> {<1><2><96><97>}
343.png@#@<p>Polyps</p> {<1><2><98><97>}
344.png@#@<p>Polyps</p> {<1><10><97><96>}
345.png@#@<p>Polyps</p> {<0><1><98><98>}
346.png@#@<p>Polyps</p> {<1><2><97><98>}
347.png@#@<p>Polyps</p> {<51><24><97><60>}<delim>{<51><34><98><60>}
348.png@#@<p>Polyps</p> {<57><32><64><39>}<delim>{<14><50><31><78>}<delim>{<38><50><59><59>}<delim>{<51><38><64><52>}
349.png@#@<p>Polyps</p> {<67><3><98><25>}<delim>{<0><49><64><71>}
35.png@#@<p>Polyps</p> {<36><45><62><80>}<delim>{<66><27><81><59>}<delim>{<1><44><25><79>}
350.png@#@<p>Polyps</p> {<2><3><97><98>}
351.png@#@<p>Polyps</p> {<57><4><98><90>}
352.png@#@<p>Polyps</p> {<1><2><97><98>}
353.png@#@<p>Polyps</p> {<0><2><95><98>}
354.png@#@<p>Polyps</p> {<69><25><94><45>}<delim>{<18><3><50><25>}<delim>{<1><2><17><26>}<delim>{<55><11><94><43>}
355.png@#@<p>Polyps</p> {<1><3><96><97>}
356.png@#@<p>Polyps</p> {<1><3><97><97>}
357.png@#@<p>Polyps</p> {<1><1><97><98>}
358.png@#@<p>Polyps</p> {<4><26><93><97>}
359.png@#@<p>Polyps</p> {<1><1><97><98>}
36.png@#@<p>Polyps</p> {<1><38><75><97>}
360.png@#@<p>Polyps</p> {<1><5><94><96>}
361.png@#@<p>Polyps</p> {<15><43><44><96>}<delim>{<31><22><64><48>}
362.png@#@<p>Polyps</p> {<14><3><95><97>}
363.png@#@<p>Polyps</p> {<27><28><45><41>}<delim>{<39><84><51><96>}<delim>{<26><29><45><42>}
364.png@#@<p>Polyps</p> {<16><74><50><97>}<delim>{<38><74><57><96>}
365.png@#@<p>Polyps</p> {<12><3><97><98>}
366.png@#@<p>Polyps</p> {<31><79><44><96>}<delim>{<62><66><70><76>}
367.png@#@<p>Polyps</p> {<58><54><79><76>}<delim>{<30><34><38><41>}<delim>{<29><33><35><40>}
368.png@#@<p>Polyps</p> {<25><79><44><96>}<delim>{<13><89><45><97>}<delim>{<39><79><51><89>}
369.png@#@<p>Polyps</p> {<14><29><48><97>}<delim>{<13><37><50><61>}
37.png@#@<p>Polyps</p> {<52><69><81><95>}<delim>{<50><72><81><96>}
370.png@#@<p>Polyps</p> {<18><75><39><94>}<delim>{<23><35><40><53>}<delim>{<47><32><69><48>}
371.png@#@<p>Polyps</p> {<15><70><39><86>}<delim>{<65><45><77><57>}
372.png@#@<p>Polyps</p> {<14><29><46><58>}<delim>{<38><44><74><59>}
373.png@#@<p>Polyps</p> {<15><23><42><94>}<delim>{<40><68><57><85>}<delim>{<18><37><41><58>}
374.png@#@<p>Polyps</p> {<15><33><43><90>}<delim>{<35><49><54><89>}<delim>{<52><63><78><94>}
375.png@#@<p>Polyps</p> {<13><3><96><97>}
376.png@#@<p>Polyps</p> {<15><38><50><92>}<delim>{<55><27><76><48>}
377.png@#@<p>Polyps</p> {<15><36><42><97>}<delim>{<80><22><98><92>}
378.png@#@<p>Polyps</p> {<15><36><42><53>}<delim>{<15><27><63><50>}<delim>{<48><15><95><37>}<delim>{<48><51><91><81>}<delim>{<56><12><96><28>}
379.png@#@<p>Polyps</p> {<14><35><67><100>}
38.png@#@<p>Polyps</p> {<42><56><81><79>}<delim>{<33><45><49><57>}<delim>{<0><35><21><46>}<delim>{<64><66><81><81>}<delim>{<42><50><67><66>}
380.png@#@<p>Polyps</p> {<38><2><94><97>}
39.png@#@<p>Polyps</p> {<46><36><67><59>}<delim>{<15><28><36><49>}<delim>{<23><37><40><47>}
4.png@#@<p>Polyps</p> {<4><7><81><73>}
40.png@#@<p>Polyps</p> {<14><17><95><83>}
41.png@#@<p>Polyps</p> {<15><26><62><87>}<delim>{<63><42><78><73>}<delim>{<29><18><53><43>}
42.png@#@<p>Polyps</p> {<14><20><94><96>}
43.png@#@<p>Polyps</p> {<15><20><96><48>}
44.png@#@<p>Polyps</p> {<14><36><95><82>}
45.png@#@<p>Polyps</p> {<15><13><97><89>}
46.png@#@<p>Polyps</p> {<15><4><95><82>}
47.png@#@<p>Polyps</p> {<14><25><94><74>}
48.png@#@<p>Polyps</p> {<15><9><94><76>}
49.png@#@<p>Polyps</p> {<13><27><56><52>}<delim>{<55><30><74><45>}
5.png@#@<p>Polyps</p> {<14><37><66><98>}<delim>{<50><12><66><42>}
50.png@#@<p>Polyps</p> {<13><16><94><97>}
51.png@#@<p>Polyps</p> {<13><47><95><98>}
52.png@#@<p>Polyps</p> {<14><37><91><81>}<delim>{<11><56><46><80>}
53.png@#@<p>Polyps</p> {<16><17><85><90>}<delim>{<23><19><51><40>}
54.png@#@<p>Polyps</p> {<14><2><94><95>}
55.png@#@<p>Polyps</p> {<13><3><95><96>}
56.png@#@<p>Polyps</p> {<15><20><84><96>}
57.png@#@<p>Polyps</p> {<13><21><38><53>}<delim>{<69><64><84><78>}
58.png@#@<p>Polyps</p> {<13><6><94><87>}
59.png@#@<p>Polyps</p> {<13><7><96><95>}
6.png@#@<p>Polyps</p> {<3><5><86><97>}
60.png@#@<p>Polyps</p> {<13><25><94><96>}
61.png@#@<p>Polyps</p> {<1><3><96><97>}
62.png@#@<p>Polyps</p> {<1><1><97><98>}
63.png@#@<p>Polyps</p> {<37><45><92><97>}<delim>{<58><69><75><81>}<delim>{<9><57><40><75>}
64.png@#@<p>Polyps</p> {<25><36><81><97>}<delim>{<48><38><80><95>}
65.png@#@<p>Polyps</p> {<49><37><84><96>}<delim>{<60><55><84><88>}
66.png@#@<p>Polyps</p> {<4><7><42><64>}<delim>{<61><59><74><83>}<delim>{<45><42><77><90>}
67.png@#@<p>Polyps</p> {<2><25><41><60>}<delim>{<71><50><91><83>}
