[detection] The camouflaged objects.
COD10K-CAM-2-Terrestrial-38-Lizard-2217.jpg@#@<p>The camouflaged objects</p> {<1><1><99><98>}
COD10K-CAM-1-Aquatic-13-Pipefish-681.jpg@#@<p>The camouflaged objects</p> {<0><0><100><100>}
COD10K-CAM-4-Amphibian-68-Toad-5022.jpg@#@<p>The camouflaged objects</p> {<20><16><93><97>}<delim>{<0><0><100><100>}
COD10K-CAM-4-Amphibian-68-Toad-5006.jpg@#@<p>The camouflaged objects</p> {<34><29><71><83>}<delim>{<62><15><99><59>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-858.jpg@#@<p>The camouflaged objects</p> {<24><37><63><81>}<delim>{<59><33><86><48>}<delim>{<1><0><26><76>}<delim>{<48><44><69><61>}<delim>{<25><15><47><33>}
COD10K-CAM-2-Terrestrial-36-Leopard-2064.jpg@#@<p>The camouflaged objects</p> {<1><0><98><78>}
COD10K-CAM-5-Other-69-Other-5046.jpg@#@<p>The camouflaged objects</p> {<15><34><82><72>}
COD10K-CAM-2-Terrestrial-41-Reccoon-2374.jpg@#@<p>The camouflaged objects</p> {<75><68><91><93>}<delim>{<40><26><53><48>}<delim>{<92><79><97><92>}
COD10K-CAM-2-Terrestrial-25-Centipede-1658.jpg@#@<p>The camouflaged objects</p> {<8><5><93><100>}
COD10K-CAM-3-Flying-53-Bird-3162.jpg@#@<p>The camouflaged objects</p> {<47><36><67><80>}<delim>{<1><1><54><100>}
COD10K-CAM-2-Terrestrial-38-Lizard-2229.jpg@#@<p>The camouflaged objects</p> {<14><9><81><100>}
COD10K-CAM-1-Aquatic-19-Stingaree-1186.jpg@#@<p>The camouflaged objects</p> {<28><10><73><86>}<delim>{<40><10><73><86>}
COD10K-CAM-3-Flying-55-Butterfly-3374.jpg@#@<p>The camouflaged objects</p> {<0><0><100><100>}<delim>{<0><0><63><86>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-370.jpg@#@<p>The camouflaged objects</p> {<23><6><75><94>}<delim>{<0><28><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3678.jpg@#@<p>The camouflaged objects</p> {<42><35><64><63>}
COD10K-CAM-3-Flying-55-Butterfly-3350.jpg@#@<p>The camouflaged objects</p> {<34><2><70><71>}<delim>{<0><2><61><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1524.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3744.jpg@#@<p>The camouflaged objects</p> {<39><21><86><74>}<delim>{<10><52><34><66>}
COD10K-CAM-2-Terrestrial-27-Cheetah-1739.jpg@#@<p>The camouflaged objects</p> {<2><1><99><100>}
COD10K-CAM-4-Amphibian-68-Toad-4937.jpg@#@<p>The camouflaged objects</p> {<41><33><72><68>}<delim>{<15><42><40><60>}
COD10K-CAM-1-Aquatic-13-Pipefish-608.jpg@#@<p>The camouflaged objects</p> {<39><45><60><71>}<delim>{<56><18><66><26>}<delim>{<69><15><79><24>}<delim>{<41><46><56><56>}<delim>{<69><37><84><46>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1719.jpg@#@<p>The camouflaged objects</p> {<13><17><90><95>}
COD10K-CAM-3-Flying-61-Katydid-4222.jpg@#@<p>The camouflaged objects</p> {<25><29><48><83>}<delim>{<18><16><50><79>}
COD10K-CAM-2-Terrestrial-22-Bug-1274.jpg@#@<p>The camouflaged objects</p> {<20><18><82><71>}
COD10K-CAM-2-Terrestrial-31-Gecko-1880.jpg@#@<p>The camouflaged objects</p> {<35><41><60><80>}<delim>{<59><9><72><23>}<delim>{<69><1><83><23>}
COD10K-CAM-3-Flying-64-Moth-4452.jpg@#@<p>The camouflaged objects</p> {<0><0><100><100>}<delim>{<0><0><100><100>}
COD10K-CAM-1-Aquatic-6-Fish-163.jpg@#@<p>The camouflaged objects</p> {<41><38><80><56>}<delim>{<42><39><80><57>}
COD10K-CAM-3-Flying-59-Grasshopper-3831.jpg@#@<p>The camouflaged objects.</p> {<47><0><86><91>}<delim>{<1><0><32><27>}<delim>{<48><57><62><90>}
COD10K-CAM-3-Flying-60-Heron-3893.jpg@#@<p>The camouflaged objects</p> {<45><22><53><30>}<delim>{<1><2><100><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-500.jpg@#@<p>The camouflaged objects</p> {<45><30><61><86>}<delim>{<2><7><97><66>}<delim>{<37><20><74><42>}
COD10K-CAM-3-Flying-63-Mockingbird-4407.jpg@#@<p>The camouflaged objects</p> {<1><0><99><100>}<delim>{<1><0><99><100>}
COD10K-CAM-3-Flying-61-Katydid-3968.jpg@#@<p>The camouflaged objects</p> {<0><1><99><98>}
COD10K-CAM-2-Terrestrial-28-Deer-1761.jpg@#@<p>The camouflaged objects.</p> {<39><38><56><58>}<delim>{<14><1><57><42>}
COD10K-CAM-1-Aquatic-7-Flounder-286.jpg@#@<p>The camouflaged objects</p> {<4><18><80><89>}
COD10K-CAM-3-Flying-59-Grasshopper-3840.jpg@#@<p>The camouflaged objects</p> {<5><17><68><84>}
COD10K-CAM-2-Terrestrial-24-Caterpillar-1587.jpg@#@<p>The camouflaged objects</p> {<34><8><59><91>}<delim>{<72><60><90><94>}
COD10K-CAM-3-Flying-59-Grasshopper-3877.jpg@#@<p>The camouflaged objects</p> {<40><1><63><93>}<delim>{<46><0><58><87>}
COD10K-CAM-3-Flying-59-Grasshopper-3740.jpg@#@<p>The camouflaged objects</p> {<39><35><92><96>}<delim>{<40><34><91><97>}<delim>{<0><0><81><92>}
COD10K-CAM-3-Flying-59-Grasshopper-3768.jpg@#@<p>The camouflaged objects</p> {<1><1><100><97>}
COD10K-CAM-1-Aquatic-13-Pipefish-535.jpg@#@<p>The camouflaged objects</p> {<10><57><38><67>}<delim>{<39><41><61><54>}<delim>{<25><36><45><46>}<delim>{<66><16><80><23>}
COD10K-CAM-2-Terrestrial-45-Spider-2553.jpg@#@<p>The camouflaged objects</p> {<1><1><100><98>}<delim>{<13><1><100><98>}
COD10K-CAM-3-Flying-53-Bird-3059.jpg@#@<p>The camouflaged objects</p> {<52><14><67><59>}<delim>{<53><15><68><62>}
COD10K-CAM-2-Terrestrial-45-Spider-2649.jpg@#@<p>The camouflaged objects</p> {<1><0><100><98>}<delim>{<32><5><74><74>}
COD10K-CAM-3-Flying-62-Mantis-4350.jpg@#@<p>The camouflaged objects</p> {<38><24><69><61>}<delim>{<40><24><70><61>}
COD10K-CAM-3-Flying-61-Katydid-3976.jpg@#@<p>The camouflaged objects</p> {<34><0><61><97>}<delim>{<27><1><58><100>}
COD10K-CAM-1-Aquatic-15-SeaHorse-1096.jpg@#@<p>The camouflaged objects</p> {<64><32><81><100>}<delim>{<0><18><18><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3702.jpg@#@<p>The camouflaged objects</p> {<25><46><50><69>}<delim>{<24><31><68><67>}
COD10K-CAM-1-Aquatic-12-Pagurian-486.jpg@#@<p>The camouflaged objects</p> {<16><43><30><61>}<delim>{<17><43><28><59>}<delim>{<17><44><30><59>}
COD10K-CAM-3-Flying-56-Cicada-3483.jpg@#@<p>The camouflaged objects</p> {<34><20><62><35>}<delim>{<37><19><61><33>}<delim>{<57><21><74><44>}
COD10K-CAM-3-Flying-53-Bird-3023.jpg@#@<p>The camouflaged objects</p> {<1><2><100><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2677.jpg@#@<p>The camouflaged objects</p> {<1><0><99><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2794.jpg@#@<p>The camouflaged objects</p> {<35><24><86><99>}<delim>{<1><0><99><99>}
COD10K-CAM-2-Terrestrial-45-Spider-2741.jpg@#@<p>The camouflaged objects</p> {<1><8><100><100>}<delim>{<23><35><91><69>}
COD10K-CAM-3-Flying-61-Katydid-3949.jpg@#@<p>The camouflaged objects</p> {<45><0><62><39>}<delim>{<74><61><92><82>}<delim>{<78><29><88><48>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-346.jpg@#@<p>The camouflaged objects</p> {<25><9><84><91>}<delim>{<0><0><100><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2551.jpg@#@<p>The camouflaged objects</p> {<2><1><97><98>}
COD10K-CAM-2-Terrestrial-30-Duck-1876.jpg@#@<p>The camouflaged objects</p> {<43><33><57><52>}<delim>{<91><28><99><42>}<delim>{<0><0><100><100>}
COD10K-CAM-1-Aquatic-15-SeaHorse-1078.jpg@#@<p>The camouflaged objects</p> {<59><17><82><64>}<delim>{<60><21><82><64>}<delim>{<1><1><49><82>}
COD10K-CAM-1-Aquatic-6-Fish-143.jpg@#@<p>The camouflaged objects</p> {<36><37><89><68>}<delim>{<0><54><41><92>}
COD10K-CAM-3-Flying-54-Bittern-3288.jpg@#@<p>The camouflaged objects</p> {<52><29><70><63>}<delim>{<54><28><71><63>}
COD10K-CAM-2-Terrestrial-42-Sciuridae-2397.jpg@#@<p>The camouflaged objects</p> {<29><14><60><80>}<delim>{<34><53><62><80>}
COD10K-CAM-1-Aquatic-11-Octopus-447.jpg@#@<p>The camouflaged objects</p> {<50><37><62><76>}<delim>{<39><38><57><76>}<delim>{<18><43><45><88>}
COD10K-CAM-3-Flying-61-Katydid-4176.jpg@#@<p>The camouflaged objects</p> {<14><5><99><100>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1705.jpg@#@<p>The camouflaged objects</p> {<34><49><52><76>}<delim>{<62><10><88><35>}
COD10K-CAM-3-Flying-59-Grasshopper-3811.jpg@#@<p>The camouflaged objects</p> {<10><6><94><98>}
COD10K-CAM-3-Flying-65-Owl-4565.jpg@#@<p>The camouflaged objects</p> {<43><74><59><87>}<delim>{<52><17><68><42>}<delim>{<2><0><18><28>}
COD10K-CAM-3-Flying-53-Bird-3239.jpg@#@<p>The camouflaged objects</p> {<29><19><64><57>}<delim>{<35><45><58><57>}<delim>{<0><3><100><59>}
COD10K-CAM-3-Flying-65-Owl-4527.jpg@#@<p>The camouflaged objects</p> {<8><23><40><53>}<delim>{<10><26><29><47>}
COD10K-CAM-1-Aquatic-15-SeaHorse-999.jpg@#@<p>The camouflaged objects</p> {<0><1><98><100>}<delim>{<12><3><79><64>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-897.jpg@#@<p>The camouflaged objects</p> {<11><28><70><73>}
COD10K-CAM-1-Aquatic-13-Pipefish-570.jpg@#@<p>The camouflaged objects</p> {<0><48><53><67>}
COD10K-CAM-1-Aquatic-4-Crocodile-114.jpg@#@<p>The camouflaged objects</p> {<6><13><94><72>}
COD10K-CAM-2-Terrestrial-23-Cat-1498.jpg@#@<p>The camouflaged objects</p> {<0><34><100><62>}<delim>{<71><28><81><53>}
COD10K-CAM-2-Terrestrial-31-Gecko-1929.jpg@#@<p>The camouflaged objects</p> {<25><10><96><93>}
COD10K-CAM-4-Amphibian-68-Toad-4955.jpg@#@<p>The camouflaged objects</p> {<1><29><100><98>}<delim>{<27><49><65><83>}
COD10K-CAM-1-Aquatic-15-SeaHorse-963.jpg@#@<p>The camouflaged objects</p> {<1><3><84><86>}
COD10K-CAM-3-Flying-53-Bird-3170.jpg@#@<p>The camouflaged objects</p> {<50><38><57><61>}<delim>{<49><39><57><64>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1670.jpg@#@<p>The camouflaged objects</p> {<37><29><73><81>}<delim>{<40><30><62><75>}
COD10K-CAM-2-Terrestrial-30-Duck-1866.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}
COD10K-CAM-4-Amphibian-68-Toad-4839.jpg@#@<p>The camouflaged objects</p> {<1><1><98><96>}<delim>{<52><0><99><96>}
COD10K-CAM-2-Terrestrial-45-Spider-2792.jpg@#@<p>The camouflaged objects</p> {<12><33><62><95>}<delim>{<3><1><100><100>}
COD10K-CAM-1-Aquatic-11-Octopus-464.jpg@#@<p>The camouflaged objects</p> {<17><29><80><83>}
COD10K-CAM-1-Aquatic-6-Fish-160.jpg@#@<p>The camouflaged objects</p> {<1><5><90><100>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-327.jpg@#@<p>The camouflaged objects</p> {<19><14><58><93>}<delim>{<67><12><88><61>}<delim>{<1><1><100><100>}
COD10K-CAM-3-Flying-60-Heron-3925.jpg@#@<p>The camouflaged objects</p> {<1><1><98><100>}
COD10K-CAM-2-Terrestrial-29-Dog-1856.jpg@#@<p>The camouflaged objects</p> {<1><34><99><100>}
COD10K-CAM-3-Flying-65-Owl-4535.jpg@#@<p>The camouflaged objects</p> {<46><29><60><71>}<delim>{<53><18><67><66>}<delim>{<14><3><26><24>}<delim>{<25><1><36><25>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-934.jpg@#@<p>The camouflaged objects</p> {<38><29><65><74>}<delim>{<10><56><26><93>}
COD10K-CAM-3-Flying-59-Grasshopper-3804.jpg@#@<p>The camouflaged objects</p> {<4><41><82><85>}
COD10K-CAM-2-Terrestrial-38-Lizard-2235.jpg@#@<p>The camouflaged objects</p> {<18><19><100><78>}<delim>{<43><16><55><29>}
COD10K-CAM-2-Terrestrial-32-Giraffe-1950.jpg@#@<p>The camouflaged objects</p> {<0><0><100><98>}
COD10K-CAM-1-Aquatic-13-Pipefish-684.jpg@#@<p>The camouflaged objects</p> {<1><1><99><100>}<delim>{<3><25><46><100>}
COD10K-CAM-2-Terrestrial-42-Sciuridae-2382.jpg@#@<p>The camouflaged objects</p> {<45><16><79><70>}<delim>{<1><23><21><64>}
COD10K-CAM-2-Terrestrial-38-Lizard-2218.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3875.jpg@#@<p>The camouflaged objects</p> {<22><10><79><77>}
COD10K-CAM-2-Terrestrial-23-Cat-1494.jpg@#@<p>The camouflaged objects</p> {<51><67><58><77>}<delim>{<21><63><35><79>}<delim>{<0><28><10><54>}<delim>{<14><63><20><73>}<delim>{<60><39><67><53>}
COD10K-CAM-2-Terrestrial-23-Cat-1466.jpg@#@<p>The camouflaged objects</p> {<0><0><100><98>}
COD10K-CAM-2-Terrestrial-42-Sciuridae-2400.jpg@#@<p>The camouflaged objects</p> {<47><37><71><64>}<delim>{<58><40><73><66>}<delim>{<0><1><27><44>}<delim>{<91><49><97><61>}
COD10K-CAM-3-Flying-61-Katydid-4167.jpg@#@<p>The camouflaged objects</p> {<24><20><78><100>}
COD10K-CAM-4-Amphibian-68-Toad-4813.jpg@#@<p>The camouflaged objects</p> {<62><49><83><89>}<delim>{<60><52><82><87>}
COD10K-CAM-1-Aquatic-7-Flounder-250.jpg@#@<p>The camouflaged objects</p> {<9><12><97><84>}
COD10K-CAM-4-Amphibian-68-Toad-4821.jpg@#@<p>The camouflaged objects</p> {<46><23><83><72>}<delim>{<47><27><85><71>}<delim>{<13><20><85><82>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1671.jpg@#@<p>The camouflaged objects</p> {<8><29><95><76>}<delim>{<40><12><73><42>}
COD10K-CAM-3-Flying-61-Katydid-3962.jpg@#@<p>The camouflaged objects</p> {<10><5><97><84>}
COD10K-CAM-1-Aquatic-7-Flounder-253.jpg@#@<p>The camouflaged objects</p> {<28><26><84><85>}<delim>{<0><1><97><98>}
COD10K-CAM-3-Flying-59-Grasshopper-3621.jpg@#@<p>The camouflaged objects</p> {<12><24><79><67>}<delim>{<33><25><87><69>}<delim>{<24><26><51><52>}
COD10K-CAM-1-Aquatic-13-Pipefish-728.jpg@#@<p>The camouflaged objects</p> {<31><16><63><98>}<delim>{<47><20><62><96>}
COD10K-CAM-3-Flying-65-Owl-4660.jpg@#@<p>The camouflaged objects</p> {<56><42><73><89>}<delim>{<18><40><58><53>}<delim>{<0><48><17><87>}
COD10K-CAM-2-Terrestrial-34-Human-2034.jpg@#@<p>The camouflaged objects</p> {<0><58><21><97>}<delim>{<33><64><72><100>}<delim>{<0><58><21><97>}
COD10K-CAM-3-Flying-65-Owl-4575.jpg@#@<p>The camouflaged objects.</p> {<42><41><59><66>}<delim>{<0><1><100><34>}
COD10K-CAM-1-Aquatic-11-Octopus-465.jpg@#@<p>The camouflaged objects</p> {<18><2><94><97>}
COD10K-CAM-2-Terrestrial-38-Lizard-2151.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}<delim>{<0><0><35><29>}
COD10K-CAM-3-Flying-59-Grasshopper-3777.jpg@#@<p>The camouflaged objects</p> {<0><5><100><100>}
COD10K-CAM-3-Flying-61-Katydid-3988.jpg@#@<p>The camouflaged objects</p> {<10><3><26><40>}<delim>{<65><17><82><63>}
COD10K-CAM-1-Aquatic-13-Pipefish-623.jpg@#@<p>The camouflaged objects</p> {<9><15><89><87>}<delim>{<0><2><30><66>}
COD10K-CAM-1-Aquatic-13-Pipefish-813.jpg@#@<p>The camouflaged objects</p> {<7><1><99><75>}<delim>{<8><45><25><80>}
COD10K-CAM-2-Terrestrial-23-Cat-1331.jpg@#@<p>The camouflaged objects</p> {<30><1><48><9>}<delim>{<57><62><71><92>}<delim>{<88><50><99><72>}<delim>{<69><14><78><35>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-377.jpg@#@<p>The camouflaged objects</p> {<12><2><94><88>}
COD10K-CAM-2-Terrestrial-47-Tiger-2902.jpg@#@<p>The camouflaged objects</p> {<48><39><58><61>}<delim>{<50><20><62><42>}
COD10K-CAM-3-Flying-65-Owl-4613.jpg@#@<p>The camouflaged objects</p> {<32><40><47><72>}<delim>{<30><61><43><72>}
COD10K-CAM-3-Flying-59-Grasshopper-3676.jpg@#@<p>The camouflaged objects</p> {<1><37><100><99>}
COD10K-CAM-1-Aquatic-2-ClownFish-15.jpg@#@<p>The camouflaged objects</p> {<37><12><60><57>}<delim>{<63><14><97><76>}
COD10K-CAM-1-Aquatic-16-Shrimp-1120.jpg@#@<p>The camouflaged objects</p> {<31><37><56><80>}<delim>{<29><58><46><79>}<delim>{<52><68><88><98>}
COD10K-CAM-3-Flying-55-Butterfly-3426.jpg@#@<p>The camouflaged objects</p> {<10><32><92><67>}<delim>{<40><34><93><70>}
COD10K-CAM-3-Flying-53-Bird-3167.jpg@#@<p>The camouflaged objects</p> {<1><0><100><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1474.jpg@#@<p>The camouflaged objects</p> {<31><24><58><63>}<delim>{<0><0><74><92>}
COD10K-CAM-3-Flying-55-Butterfly-3359.jpg@#@<p>The camouflaged objects</p> {<11><1><100><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2566.jpg@#@<p>The camouflaged objects</p> {<24><1><94><100>}
COD10K-CAM-1-Aquatic-6-Fish-204.jpg@#@<p>The camouflaged objects</p> {<23><30><81><83>}
COD10K-CAM-3-Flying-55-Butterfly-3389.jpg@#@<p>The camouflaged objects</p> {<1><20><58><91>}<delim>{<47><22><90><79>}
COD10K-CAM-4-Amphibian-67-Frog-4742.jpg@#@<p>The camouflaged objects</p> {<48><49><80><73>}<delim>{<14><36><67><69>}<delim>{<1><0><99><100>}
COD10K-CAM-3-Flying-64-Moth-4481.jpg@#@<p>The camouflaged objects</p> {<46><32><61><80>}<delim>{<46><32><61><80>}
COD10K-CAM-4-Amphibian-68-Toad-4891.jpg@#@<p>The camouflaged objects</p> {<1><54><100><98>}
COD10K-CAM-3-Flying-63-Mockingbird-4389.jpg@#@<p>The camouflaged objects</p> {<4><59><26><67>}<delim>{<30><43><61><57>}<delim>{<2><11><18><22>}<delim>{<19><93><31><99>}
COD10K-CAM-3-Flying-60-Heron-3918.jpg@#@<p>The camouflaged objects</p> {<23><26><40><55>}<delim>{<0><0><100><97>}
COD10K-CAM-2-Terrestrial-48-Wolf-2914.jpg@#@<p>The camouflaged objects.</p> {<14><0><30><92>}<delim>{<31><16><42><57>}
COD10K-CAM-2-Terrestrial-23-Cat-1510.jpg@#@<p>The camouflaged objects</p> {<58><60><68><70>}<delim>{<93><21><99><34>}
COD10K-CAM-2-Terrestrial-46-StickInsect-2809.jpg@#@<p>The camouflaged objects</p> {<40><18><61><62>}<delim>{<50><22><63><70>}<delim>{<41><15><55><57>}
COD10K-CAM-1-Aquatic-6-Fish-193.jpg@#@<p>The camouflaged objects</p> {<38><20><62><76>}<delim>{<1><1><100><97>}
COD10K-CAM-2-Terrestrial-21-Ant-1233.jpg@#@<p>The camouflaged objects</p> {<18><14><94><89>}
COD10K-CAM-2-Terrestrial-38-Lizard-2194.jpg@#@<p>The camouflaged objects</p> {<30><29><66><71>}
COD10K-CAM-3-Flying-53-Bird-3150.jpg@#@<p>The camouflaged objects</p> {<42><42><53><58>}<delim>{<67><24><77><38>}<delim>{<92><33><99><46>}
COD10K-CAM-2-Terrestrial-29-Dog-1830.jpg@#@<p>The camouflaged objects</p> {<39><42><96><80>}<delim>{<7><41><35><61>}
COD10K-CAM-3-Flying-50-Bat-2967.jpg@#@<p>The camouflaged objects</p> {<1><0><99><99>}
COD10K-CAM-4-Amphibian-68-Toad-4926.jpg@#@<p>The camouflaged objects.</p> {<0><1><97><64>}<delim>{<30><10><92><47>}
COD10K-CAM-2-Terrestrial-23-Cat-1405.jpg@#@<p>The camouflaged objects</p> {<18><0><36><54>}<delim>{<52><25><89><57>}<delim>{<86><32><100><59>}
COD10K-CAM-2-Terrestrial-23-Cat-1299.jpg@#@<p>The camouflaged objects</p> {<1><45><63><70>}
COD10K-CAM-3-Flying-63-Mockingbird-4406.jpg@#@<p>The camouflaged objects</p> {<0><1><100><98>}
COD10K-CAM-3-Flying-59-Grasshopper-3619.jpg@#@<p>The camouflaged objects</p> {<30><10><72><100>}<delim>{<48><10><70><100>}
COD10K-CAM-2-Terrestrial-38-Lizard-2202.jpg@#@<p>The camouflaged objects</p> {<47><25><63><71>}<delim>{<0><1><68><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-556.jpg@#@<p>The camouflaged objects</p> {<1><4><99><100>}
COD10K-CAM-2-Terrestrial-40-Rabbit-2373.jpg@#@<p>The camouflaged objects</p> {<21><39><60><71>}<delim>{<22><40><59><68>}<delim>{<20><42><34><67>}
