[detection] Polyps.
126.png@#@<p>Polyps</p> {<1><12><65><99>}<delim>{<72><80><94><99>}<delim>{<12><13><37><48>}
127.png@#@<p>Polyps</p> {<1><0><99><98>}
128.png@#@<p>Polyps</p> {<1><1><98><99>}
129.png@#@<p>Polyps</p> {<35><40><46><53>}<delim>{<34><41><46><54>}
13.png@#@<p>Polyps</p> {<13><2><98><98>}
130.png@#@<p>Polyps</p> {<27><37><43><53>}<delim>{<26><39><44><53>}
131.png@#@<p>Polyps</p> {<44><5><67><30>}<delim>{<35><15><49><28>}<delim>{<59><29><74><46>}
132.png@#@<p>Polyps</p> {<32><45><47><58>}<delim>{<32><1><66><45>}
133.png@#@<p>Polyps</p> {<48><43><66><70>}<delim>{<29><28><42><41>}
134.png@#@<p>Polyps</p> {<1><1><100><99>}
135.png@#@<p>Polyps</p> {<0><12><99><99>}
136.png@#@<p>Polyps</p> {<1><2><98><98>}
137.png@#@<p>Polyps</p> {<0><1><100><99>}<delim>{<64><43><82><68>}<delim>{<35><41><53><70>}
138.png@#@<p>Polyps</p> {<0><2><100><98>}
139.png@#@<p>Polyps</p> {<1><1><99><98>}
14.png@#@<p>Polyps</p> {<5><1><98><98>}
140.png@#@<p>Polyps</p> {<1><4><95><100>}
141.png@#@<p>Polyps</p> {<64><43><75><61>}<delim>{<32><40><51><98>}<delim>{<0><1><26><24>}
142.png@#@<p>Polyps</p> {<0><0><99><100>}
143.png@#@<p>Polyps</p> {<1><1><100><99>} <p>a colonoscopy</p> {<1><1><100><99>}
144.png@#@<p>Polyps</p> {<1><0><99><100>}
145.png@#@<p>Polyps</p> {<61><18><95><39>}<delim>{<10><10><49><28>}<delim>{<27><2><51><21>}
146.png@#@<p>Polyps</p> {<32><52><60><78>}<delim>{<64><53><79><68>}<delim>{<1><2><92><98>}
147.png@#@<p>Polyps</p> {<1><52><31><99>}<delim>{<0><87><47><100>}<delim>{<6><92><48><100>}
148.png@#@<p>Polyps</p> {<1><20><69><100>} <p>the lining of the digestive system</p> {<1><20><69><100>}
149.png@#@<p>Polyps</p> {<25><56><41><83>}<delim>{<0><59><100><98>}
15.png@#@<p>Polyps</p> {<5><0><100><98>}
150.png@#@<p>Polyps</p> {<1><69><34><78>} <p>the scope</p> {<0><0><100><100>}
151.png@#@<p>Polyps</p> {<89><53><92><59>}<delim>{<66><74><71><79>}<delim>{<12><23><44><33>}<delim>{<46><44><52><51>}<delim>{<20><33><31><39>}<delim>{<35><53><44><60>}
152.png@#@<p>Polyps</p> {<4><32><58><100>} <p>a large, irregular, dark colored polyp</p> {<4><32><58><100>}<delim>{<67><56><99><85>}<delim>{<0><24><99><100>} that is larger than the other three
153.png@#@<p>Polyps</p> {<46><20><71><53>}<delim>{<0><1><100><99>}
154.png@#@<p>Polyps</p> {<0><1><99><98>}
155.png@#@<p>Polyps</p> {<52><19><83><73>}<delim>{<0><0><18><64>}<delim>{<18><18><53><69>}
156.png@#@<p>Polyps</p> {<1><1><98><98>}
157.png@#@<p>Polyps</p> {<0><2><98><76>}
158.png@#@<p>Polyps</p> {<14><79><42><98>}<delim>{<69><14><90><35>}<delim>{<23><20><50><37>}  <p>Polyps</p> {<14><79><42><98>}<delim>{<69><14><90><35>}
159.png@#@<p>Polyps</p> {<26><40><53><79>}<delim>{<14><18><43><60>}<delim>{<50><0><88><61>}
16.png@#@<p>Polyps</p> {<59><24><97><99>}<delim>{<19><3><40><48>}
160.png@#@<p>Polyps</p> {<10><53><50><82>}<delim>{<47><26><61><43>}<delim>{<26><53><50><83>}
161.png@#@<p>Polyps</p> {<1><1><98><98>}
162.png@#@<p>Polyps</p> {<14><9><30><37>}<delim>{<26><49><53><80>}<delim>{<13><3><31><30>}<delim>{<54><2><82><30>}
163.png@#@<p>Polyps</p> {<0><13><25><47>}<delim>{<89><93><97><99>}
164.png@#@<p>Polyps</p> {<12><48><30><56>}<delim>{<43><17><69><40>}
165.png@#@<p>Polyps</p> {<1><0><98><98>}
166.png@#@<p>Polyps</p> {<0><1><99><98>}
167.png@#@<p>Polyps</p> {<0><1><100><100>} <p>detection</p> {<0><0><100><99>}
168.png@#@<p>Polyps</p> {<1><38><77><100>}
169.png@#@<p>Polyps</p> {<1><5><98><98>}
17.png@#@<p>Polyps</p> {<1><15><43><98>}<delim>{<62><44><87><86>}<delim>{<84><0><99><36>}
170.png@#@<p>Polyps</p> {<3><14><28><50>}<delim>{<27><91><54><100>}<delim>{<52><23><69><50>}
171.png@#@<p>Polyps</p> {<0><1><100><99>}
172.png@#@<p>Polyps</p> {<45><72><69><87>}<delim>{<10><37><30><70>}<delim>{<45><4><70><36>}<delim>{<1><25><18><58>}
173.png@#@<p>Polyps</p> {<1><2><98><98>}
174.png@#@<p>Polyps</p> {<3><4><100><98>} <p>the esophagus</p> {<1><1><100><98>}
175.png@#@<p>Polyps</p> {<1><1><100><99>}
176.png@#@<p>Polyps</p> {<1><1><100><99>}<delim>{<36><27><68><75>}
177.png@#@<p>Polyps</p> {<24><18><84><76>}<delim>{<69><53><89><81>}<delim>{<20><54><51><81>}
178.png@#@<p>Polyps</p> {<32><8><71><46>}<delim>{<59><75><71><85>}<delim>{<78><53><94><65>}
179.png@#@<p>Polyps</p> {<7><8><95><90>}<delim>{<41><83><81><94>}
18.png@#@<p>Polyps</p> {<1><3><99><100>}
180.png@#@<p>Polyps</p> {<5><9><97><90>}
181.png@#@<p>Polyps</p> {<45><22><92><83>}<delim>{<27><21><56><66>}<delim>{<67><77><73><91>}
182.png@#@<p>Polyps</p> {<42><35><83><79>}<delim>{<16><6><40><25>}<delim>{<35><85><78><96>}<delim>{<8><4><41><20>}
183.png@#@<p>Polyps</p> {<2><16><100><98>}
184.png@#@<p>Polyps</p> {<1><2><98><98>}
185.png@#@<p>Polyps</p> {<48><41><73><59>}<delim>{<63><42><73><59>}
186.png@#@<p>Polyps</p> {<32><48><67><65>}<delim>{<59><13><83><25>}
187.png@#@<p>Polyps</p> {<4><75><68><99>}
188.png@#@<p>Polyps</p> {<46><46><65><67>}<delim>{<28><18><43><26>}<delim>{<0><32><19><48>}
189.png@#@<p>Polyps</p> {<42><39><58><55>}<delim>{<10><24><67><58>}<delim>{<24><81><52><99>}
19.png@#@<p>Polyps</p> {<1><1><99><98>}<delim>{<46><1><99><98>}
190.png@#@<p>Polyps</p> {<16><75><41><99>}<delim>{<40><23><60><35>}
191.png@#@<p>Polyps</p> {<14><39><56><78>}<delim>{<68><23><99><37>}
192.png@#@<p>Polyps</p> {<13><44><40><59>}<delim>{<60><84><71><98>}<delim>{<27><51><40><65>}<delim>{<50><50><64><68>}
193.png@#@<p>Polyps</p> {<1><0><99><100>}
194.png@#@<p>Polyps</p> {<14><38><42><73>}<delim>{<4><56><42><99>}<delim>{<66><16><99><50>}
195.png@#@<p>Polyps</p> {<0><0><99><98>}
196.png@#@<p>Polyps</p> {<0><1><98><99>}
2.png@#@<p>Polyps</p> {<49><3><100><86>}<delim>{<35><26><49><100>}<delim>{<1><22><50><100>}
20.png@#@<p>Polyps</p> {<0><1><100><99>}<delim>{<31><25><60><43>}<delim>{<69><32><82><57>}
21.png@#@<p>Polyps</p> {<16><24><49><52>}<delim>{<27><24><48><51>}
22.png@#@<p>Polyps</p> {<0><12><100><99>} <p>Polyps</p> {<0><12><100><99>}
23.png@#@<p>Polyps</p> {<3><2><98><97>}
24.png@#@<p>Polyps</p> {<1><2><99><98>} <p>a white polyps</p> {<1><1><99><98>} <p>a white polyps</p> {<1><2><99><98>}
25.png@#@<p>Polyps</p> {<0><1><99><98>}
26.png@#@<p>Polyps</p> {<1><4><98><98>}
27.png@#@<p>Polyps</p> {<1><5><97><98>}
28.png@#@<p>Polyps</p> {<2><1><98><99>}
29.png@#@<p>Polyps</p> {<1><6><45><98>}<delim>{<0><2><99><100>}
3.png@#@<p>Polyps</p> {<40><1><98><100>}
30.png@#@<p>Polyps</p> {<1><1><99><98>}
31.png@#@<p>Polyps</p> {<0><1><99><98>}
32.png@#@<p>Polyps</p> {<0><3><99><98>}
33.png@#@<p>Polyps</p> {<64><64><73><80>}<delim>{<19><15><49><62>}<delim>{<58><32><76><66>}
34.png@#@<p>Polyps</p> {<14><34><50><70>}<delim>{<82><12><99><34>}<delim>{<0><16><21><47>}<delim>{<55><74><75><90>}
35.png@#@<p>Polyps</p> {<0><11><99><98>}
36.png@#@<p>Polyps</p> {<1><2><96><87>}
37.png@#@<p>Polyps</p> {<1><0><99><98>}
38.png@#@<p>Polyps</p> {<0><1><99><98>}
39.png@#@<p>Polyps</p> {<47><28><61><45>}<delim>{<69><28><80><54>}
4.png@#@<p>Polyps</p> {<35><1><99><100>}
40.png@#@<p>Polyps</p> {<27><18><46><39>}<delim>{<52><14><72><31>}<delim>{<91><15><99><30>}
41.png@#@<p>Polyps</p> {<18><21><47><40>}<delim>{<49><54><67><70>}<delim>{<22><21><37><30>}<delim>{<38><38><52><49>}
42.png@#@<p>Polyps</p> {<22><41><67><70>}<delim>{<83><65><99><99>}
43.png@#@<p>Polyps</p> {<1><2><98><98>}
44.png@#@<p>Polyps</p> {<1><2><100><99>}<delim>{<82><50><99><75>}
45.png@#@<p>Polyps</p> {<1><2><100><100>}
46.png@#@<p>Polyps</p> {<1><1><99><98>}
47.png@#@<p>Polyps</p> {<1><2><100><99>}
48.png@#@<p>Polyps</p> {<0><2><99><100>}<delim>{<67><52><88><94>}
49.png@#@<p>Polyps</p> {<73><54><85><76>}<delim>{<9><14><23><20>}<delim>{<82><37><99><64>}
5.png@#@<p>Polyps</p> {<40><1><100><98>}<delim>{<1><2><98><98>}
50.png@#@<p>Polyps</p> {<1><1><99><98>}
51.png@#@<p>Polyps</p> {<56><33><70><54>}<delim>{<56><29><70><48>}
52.png@#@<p>Polyps</p> {<1><1><98><98>}
53.png@#@<p>Polyps</p> {<12><50><49><98>}<delim>{<11><19><33><34>}<delim>{<65><27><93><53>}
54.png@#@<p>Polyps</p> {<13><27><32><46>}<delim>{<35><29><61><45>}<delim>{<33><0><60><15>}
55.png@#@<p>Polyps</p> {<2><2><100><98>}
56.png@#@<p>Polyps</p> {<56><32><71><52>}<delim>{<14><29><32><45>}
57.png@#@<p>Polyps</p> {<0><0><100><100>}
58.png@#@<p>Polyps</p> {<1><2><99><98>}
59.png@#@<p>Polyps</p> {<1><27><50><100>}<delim>{<46><23><59><48>}
6.png@#@<p>Polyps</p> {<34><16><99><99>}<delim>{<46><14><71><27>}
60.png@#@<p>Polyps</p> {<1><0><100><98>}<delim>{<25><47><61><99>}
61.png@#@<p>Polyps</p> {<0><1><99><100>}<delim>{<43><17><68><52>}
62.png@#@<p>Polyps</p> {<42><17><60><49>}<delim>{<25><23><42><56>}<delim>{<1><31><24><78>}<delim>{<40><21><61><40>}
63.png@#@<p>Polyps</p> {<42><1><93><53>}<delim>{<40><26><90><51>}
64.png@#@<p>Polyps</p> {<21><28><70><82>} <p>Polyps</p> {<21><28><70><82>}
65.png@#@<p>Polyps</p> {<27><18><53><41>}<delim>{<27><20><53><40>}<delim>{<27><19><53><41>}<delim>{<27><36><65><53>}
66.png@#@<p>Polyps</p> {<24><25><70><80>}<delim>{<19><30><32><56>}
67.png@#@<p>Polyps</p> {<1><0><99><99>}
68.png@#@<p>Polyps</p> {<1><0><98><100>}
69.png@#@<p>Polyps</p> {<29><57><46><77>}<delim>{<30><62><46><78>}<delim>{<46><57><65><76>}
7.png@#@<p>Polyps</p> {<31><59><61><85>}<delim>{<47><80><63><96>}<delim>{<61><29><81><69>}
70.png@#@<p>Polyps</p> {<1><1><99><100>} <p>the right nasal cavity</p> {<1><1><99><100>} <p>polyps</p> {<1><1><99><100>}
71.png@#@<p>Polyps</p> {<1><39><46><100>} <p>ulcer</p> {<21><78><40><97>}
72.png@#@<p>Polyps</p> {<19><38><100><100>}<delim>{<20><73><45><88>}
73.png@#@<p>Polyps</p> {<1><0><98><99>}
74.png@#@<p>Polyps</p> {<8><40><39><91>}<delim>{<63><23><82><50>}<delim>{<74><2><91><36>}
75.png@#@<p>Polyps</p> {<74><23><89><41>}<delim>{<52><24><60><42>}
76.png@#@<p>Polyps</p> {<62><28><75><39>}<delim>{<31><48><49><62>}<delim>{<45><21><59><49>}
77.png@#@<p>Polyps</p> {<1><3><99><98>}
78.png@#@<p>Polyps</p> {<1><2><98><97>}
79.png@#@<p>Polyps</p> {<1><3><100><98>}
8.png@#@<p>Polyps</p> {<1><1><98><99>}
80.png@#@<p>Polyps</p> {<49><11><75><48>}<delim>{<52><13><70><48>}<delim>{<54><29><68><48>}
81.png@#@<p>Polyps</p> {<58><49><90><96>}<delim>{<42><1><70><23>}
82.png@#@<p>Polyps</p> {<71><38><89><62>}<delim>{<73><40><88><56>}<delim>{<85><39><88><43>}
83.png@#@<p>Polyps</p> {<69><23><99><61>}<delim>{<19><13><40><51>}
84.png@#@<p>Polyps</p> {<59><23><94><61>}<delim>{<14><18><39><54>}
85.png@#@<p>Polyps</p> {<64><41><95><73>}<delim>{<18><26><38><43>}<delim>{<67><38><93><73>}
86.png@#@<p>Polyps</p> {<71><38><89><63>}<delim>{<53><0><82><23>}
87.png@#@<p>Polyps</p> {<1><1><100><98>}
88.png@#@<p>Polyps</p> {<15><46><35><72>}<delim>{<54><3><80><34>}
89.png@#@<p>Polyps</p> {<25><0><69><54>}<delim>{<15><87><30><98>}
9.png@#@<p>Polyps</p> {<30><58><49><95>}<delim>{<69><18><82><51>}<delim>{<13><75><33><100>}
90.png@#@<p>Polyps</p> {<54><2><68><30>}<delim>{<69><4><81><47>}<delim>{<78><2><93><35>}<delim>{<38><9><48><34>}<delim>{<15><13><29><35>} <p>a large polyp</p> {<54><2><68><30>} <p>another polyp</p> {<54><2><68><30>} <p>a small polyp</p> {<54><2><68><30>} <p>a medium sized polyp</p> {<54><2><68><30>} <p>a tiny polyp</p> {<15><13><29><35>}
91.png@#@<p>Polyps</p> {<42><49><58><69>}<delim>{<31><80><51><99>}
92.png@#@<p>Polyps</p> {<38><25><60><47>}<delim>{<65><21><84><45>}
93.png@#@<p>Polyps</p> {<0><1><100><98>}
94.png@#@<p>Polyps</p> {<1><0><98><99>}
95.png@#@<p>Polyps</p> {<1><1><98><98>}
96.png@#@<p>Polyps</p> {<15><4><86><55>}<delim>{<70><22><83><32>}<delim>{<22><39><45><57>}<delim>{<65><31><81><47>}
97.png@#@<p>Polyps</p> {<1><0><99><99>}
98.png@#@<p>Polyps</p> {<1><2><98><98>}
99.png@#@<p>Polyps</p> {<0><1><100><98>}<delim>{<34><0><99><99>}
